Organism_Name,Month,FY,Total_Specimens,CO_Specimens,HO_Specimens,Mon_Pop,Mon_Total_Pop_Rate,Mon_HO_Pop_Rate,Mon_Adm,Mon_Total_Adm_Rate,Mon_HO_Adm_Rate
Gram negative bacteraemia,Jul,2025/26,285,201,84,268757.60001,106.04,31.25,40542,7.03,2.07
Klebsiella sp bacteraemia,Jul,2025/26,76,45,31,268757.60001,28.28,11.53,40542,1.87,0.76
MRSA bacteraemia,Jul,2025/26,3,1,2,268757.60001,1.12,0.74,40542,0.07,0.05
MSSA bacteraemia,Jul,2025/26,74,46,28,268757.60001,27.53,10.42,40542,1.83,0.69
P. aeruginosa bacteraemia,Jul,2025/26,13,8,5,268757.60001,4.84,1.86,40542,0.32,0.12
S. aureus bacteraemia,Jul,2025/26,77,47,30,268757.60001,28.65,11.16,40542,1.9,0.74
C. difficile,Jun,2020/21,83,47,36,260513.91781,31.86,13.82,26491,3.13,1.36
E. coli bacteraemia,Jun,2020/21,158,129,29,260513.91781,60.65,11.13,26491,5.96,1.09
Gram negative bacteraemia,Jun,2020/21,216,165,51,260513.91781,82.91,19.58,26491,8.15,1.93
Klebsiella sp bacteraemia,Jun,2020/21,45,27,18,260513.91781,17.27,6.91,26491,1.7,0.68
MRSA bacteraemia,Jun,2020/21,4,1,3,260513.91781,1.54,1.15,26491,0.15,0.11
MSSA bacteraemia,Jun,2020/21,55,33,22,260513.91781,21.11,8.44,26491,2.08,0.83
P. aeruginosa bacteraemia,Jun,2020/21,13,9,4,260513.91781,4.99,1.54,26491,0.49,0.15
S. aureus bacteraemia,Jun,2020/21,59,34,25,260513.91781,22.65,9.6,26491,2.23,0.94
C. difficile,Jun,2021/22,106,48,58,255239.17808,41.53,22.72,36280,2.92,1.6
E. coli bacteraemia,Jun,2021/22,194,156,38,255239.17808,76.01,14.89,36280,5.35,1.05
Gram negative bacteraemia,Jun,2021/22,262,199,63,255239.17808,102.65,24.68,36280,7.22,1.74
Klebsiella sp bacteraemia,Jun,2021/22,57,38,19,255239.17808,22.33,7.44,36280,1.57,0.52
MRSA bacteraemia,Jun,2021/22,1,0,1,255239.17808,0.39,0.39,36280,0.03,0.03
MSSA bacteraemia,Jun,2021/22,61,39,22,255239.17808,23.9,8.62,36280,1.68,0.61
P. aeruginosa bacteraemia,Jun,2021/22,11,5,6,255239.17808,4.31,2.35,36280,0.3,0.17
S. aureus bacteraemia,Jun,2021/22,62,39,23,255239.17808,24.29,9.01,36280,1.71,0.63
C. difficile,Jun,2022/23,91,53,38,257395.06849,35.35,14.76,33738,2.7,1.13
E. coli bacteraemia,Jun,2022/23,170,121,49,257395.06849,66.05,19.04,33738,5.04,1.45
Gram negative bacteraemia,Jun,2022/23,242,158,84,257395.06849,94.02,32.63,33738,7.17,2.49
Klebsiella sp bacteraemia,Jun,2022/23,48,26,22,257395.06849,18.65,8.55,33738,1.42,0.65
MRSA bacteraemia,Jun,2022/23,11,5,6,257395.06849,4.27,2.33,33738,0.33,0.18
MSSA bacteraemia,Jun,2022/23,71,46,25,257395.06849,27.58,9.71,33738,2.1,0.74
P. aeruginosa bacteraemia,Jun,2022/23,24,11,13,257395.06849,9.32,5.05,33738,0.71,0.39
S. aureus bacteraemia,Jun,2022/23,82,51,31,257395.06849,31.86,12.04,33738,2.43,0.92
C. difficile,Jun,2023/24,84,53,31,260087.99999,32.3,11.92,37560,2.24,0.83
E. coli bacteraemia,Jun,2023/24,205,152,53,260087.99999,78.82,20.38,37560,5.46,1.41
Gram negative bacteraemia,Jun,2023/24,268,198,70,260087.99999,103.04,26.91,37560,7.14,1.86
Klebsiella sp bacteraemia,Jun,2023/24,51,35,16,260087.99999,19.61,6.15,37560,1.36,0.43
MRSA bacteraemia,Jun,2023/24,3,1,2,260087.99999,1.15,0.77,37560,0.08,0.05
MSSA bacteraemia,Jun,2023/24,86,63,23,260087.99999,33.07,8.84,37560,2.29,0.61
P. aeruginosa bacteraemia,Jun,2023/24,12,11,1,260087.99999,4.61,0.38,37560,0.32,0.03
S. aureus bacteraemia,Jun,2023/24,89,64,25,260087.99999,34.22,9.61,37560,2.37,0.67
C. difficile,Jun,2024/25,129,67,62,259377.37705,49.73,23.9,37224,3.47,1.67
E. coli bacteraemia,Jun,2024/25,162,137,25,259377.37705,62.46,9.64,37224,4.35,0.67
Gram negative bacteraemia,Jun,2024/25,234,181,53,259377.37705,90.22,20.43,37224,6.29,1.42
Klebsiella sp bacteraemia,Jun,2024/25,59,37,22,259377.37705,22.75,8.48,37224,1.58,0.59
MRSA bacteraemia,Jun,2024/25,4,4,0,259377.37705,1.54,0.0,37224,0.11,0.0
MSSA bacteraemia,Jun,2024/25,70,46,24,259377.37705,26.99,9.25,37224,1.88,0.64
P. aeruginosa bacteraemia,Jun,2024/25,13,7,6,259377.37705,5.01,2.31,37224,0.35,0.16
S. aureus bacteraemia,Jun,2024/25,74,50,24,259377.37705,28.53,9.25,37224,1.99,0.64
C. difficile,Jun,2025/26,112,61,51,260087.99999,43.06,19.61,39010,2.87,1.31
E. coli bacteraemia,Jun,2025/26,176,125,51,260087.99999,67.67,19.61,39010,4.51,1.31
Gram negative bacteraemia,Jun,2025/26,248,173,75,260087.99999,95.35,28.84,39010,6.36,1.92
Klebsiella sp bacteraemia,Jun,2025/26,58,40,18,260087.99999,22.3,6.92,39010,1.49,0.46
MRSA bacteraemia,Jun,2025/26,6,4,2,260087.99999,2.31,0.77,39010,0.15,0.05
MSSA bacteraemia,Jun,2025/26,65,47,18,260087.99999,24.99,6.92,39010,1.67,0.46
P. aeruginosa bacteraemia,Jun,2025/26,14,8,6,260087.99999,5.38,2.31,39010,0.36,0.15
S. aureus bacteraemia,Jun,2025/26,71,51,20,260087.99999,27.3,7.69,39010,1.82,0.51
C. difficile,Mar,2020/21,77,55,22,269197.71508,28.6,8.17,33587,2.29,0.66
E. coli bacteraemia,Mar,2020/21,180,140,40,269197.71508,66.87,14.86,33587,5.36,1.19
Gram negative bacteraemia,Mar,2020/21,256,188,68,269197.71508,95.1,25.26,33587,7.62,2.02
Klebsiella sp bacteraemia,Mar,2020/21,69,43,26,269197.71508,25.63,9.66,33587,2.05,0.77
MRSA bacteraemia,Mar,2020/21,3,2,1,269197.71508,1.11,0.37,33587,0.09,0.03
MSSA bacteraemia,Mar,2020/21,65,46,19,269197.71508,24.15,7.06,33587,1.94,0.57
P. aeruginosa bacteraemia,Mar,2020/21,7,5,2,269197.71508,2.6,0.74,33587,0.21,0.06
S. aureus bacteraemia,Mar,2020/21,68,48,20,269197.71508,25.26,7.43,33587,2.02,0.6
C. difficile,Mar,2021/22,91,45,46,263747.15068,34.5,17.44,34551,2.63,1.33
E. coli bacteraemia,Mar,2021/22,159,128,31,263747.15068,60.29,11.75,34551,4.6,0.9
Gram negative bacteraemia,Mar,2021/22,228,173,55,263747.15068,86.45,20.85,34551,6.6,1.59
Klebsiella sp bacteraemia,Mar,2021/22,57,37,20,263747.15068,21.61,7.58,34551,1.65,0.58
MRSA bacteraemia,Mar,2021/22,5,2,3,263747.15068,1.9,1.14,34551,0.14,0.09
MSSA bacteraemia,Mar,2021/22,70,52,18,263747.15068,26.54,6.82,34551,2.03,0.52
P. aeruginosa bacteraemia,Mar,2021/22,12,8,4,263747.15068,4.55,1.52,34551,0.35,0.12
S. aureus bacteraemia,Mar,2021/22,75,54,21,263747.15068,28.44,7.96,34551,2.17,0.61
C. difficile,Mar,2022/23,106,60,46,265974.90411,39.85,17.29,38377,2.76,1.2
E. coli bacteraemia,Mar,2022/23,179,122,57,265974.90411,67.3,21.43,38377,4.66,1.49
Gram negative bacteraemia,Mar,2022/23,263,168,95,265974.90411,98.88,35.72,38377,6.85,2.48
Klebsiella sp bacteraemia,Mar,2022/23,67,38,29,265974.90411,25.19,10.9,38377,1.75,0.76
MRSA bacteraemia,Mar,2022/23,7,4,3,265974.90411,2.63,1.13,38377,0.18,0.08
MSSA bacteraemia,Mar,2022/23,70,51,19,265974.90411,26.32,7.14,38377,1.82,0.5
P. aeruginosa bacteraemia,Mar,2022/23,17,8,9,265974.90411,6.39,3.38,38377,0.44,0.23
S. aureus bacteraemia,Mar,2022/23,77,55,22,265974.90411,28.95,8.27,38377,2.01,0.57
C. difficile,Mar,2023/24,106,50,56,268757.60001,39.44,20.84,39121,2.71,1.43
E. coli bacteraemia,Mar,2023/24,157,117,40,268757.60001,58.42,14.88,39121,4.01,1.02
Gram negative bacteraemia,Mar,2023/24,216,158,58,268757.60001,80.37,21.58,39121,5.52,1.48
Klebsiella sp bacteraemia,Mar,2023/24,50,34,16,268757.60001,18.6,5.95,39121,1.28,0.41
MRSA bacteraemia,Mar,2023/24,5,3,2,268757.60001,1.86,0.74,39121,0.13,0.05
MSSA bacteraemia,Mar,2023/24,61,46,15,268757.60001,22.7,5.58,39121,1.56,0.38
P. aeruginosa bacteraemia,Mar,2023/24,9,7,2,268757.60001,3.35,0.74,39121,0.23,0.05
S. aureus bacteraemia,Mar,2023/24,66,49,17,268757.60001,24.56,6.33,39121,1.69,0.43
C. difficile,Mar,2024/25,118,60,58,268023.28961,44.03,21.64,39252,3.01,1.48
E. coli bacteraemia,Mar,2024/25,204,154,50,268023.28961,76.11,18.66,39252,5.2,1.27
Gram negative bacteraemia,Mar,2024/25,274,201,73,268023.28961,102.23,27.24,39252,6.98,1.86
Klebsiella sp bacteraemia,Mar,2024/25,53,36,17,268023.28961,19.77,6.34,39252,1.35,0.43
MRSA bacteraemia,Mar,2024/25,6,2,4,268023.28961,2.24,1.49,39252,0.15,0.1
MSSA bacteraemia,Mar,2024/25,73,55,18,268023.28961,27.24,6.72,39252,1.86,0.46
P. aeruginosa bacteraemia,Mar,2024/25,17,11,6,268023.28961,6.34,2.24,39252,0.43,0.15
S. aureus bacteraemia,Mar,2024/25,79,57,22,268023.28961,29.48,8.21,39252,2.01,0.56
C. difficile,May,2020/21,76,56,20,269197.71508,28.23,7.43,23972,3.17,0.83
E. coli bacteraemia,May,2020/21,143,112,31,269197.71508,53.12,11.52,23972,5.97,1.29
Gram negative bacteraemia,May,2020/21,198,146,52,269197.71508,73.55,19.32,23972,8.26,2.17
Klebsiella sp bacteraemia,May,2020/21,42,24,18,269197.71508,15.6,6.69,23972,1.75,0.75
MRSA bacteraemia,May,2020/21,3,3,0,269197.71508,1.11,0.0,23972,0.13,0.0
MSSA bacteraemia,May,2020/21,49,32,17,269197.71508,18.2,6.32,23972,2.04,0.71
P. aeruginosa bacteraemia,May,2020/21,13,10,3,269197.71508,4.83,1.11,23972,0.54,0.13
S. aureus bacteraemia,May,2020/21,52,35,17,269197.71508,19.32,6.32,23972,2.17,0.71
C. difficile,May,2021/22,72,41,31,263747.15068,27.3,11.75,34837,2.07,0.89
E. coli bacteraemia,May,2021/22,186,141,45,263747.15068,70.52,17.06,34837,5.34,1.29
Gram negative bacteraemia,May,2021/22,259,185,74,263747.15068,98.2,28.06,34837,7.43,2.12
Klebsiella sp bacteraemia,May,2021/22,57,34,23,263747.15068,21.61,8.72,34837,1.64,0.66
MRSA bacteraemia,May,2021/22,4,3,1,263747.15068,1.52,0.38,34837,0.11,0.03
MSSA bacteraemia,May,2021/22,68,53,15,263747.15068,25.78,5.69,34837,1.95,0.43
P. aeruginosa bacteraemia,May,2021/22,16,10,6,263747.15068,6.07,2.27,34837,0.46,0.17
S. aureus bacteraemia,May,2021/22,72,56,16,263747.15068,27.3,6.07,34837,2.07,0.46
C. difficile,May,2022/23,79,32,47,265974.90411,29.7,17.67,35011,2.26,1.34
E. coli bacteraemia,May,2022/23,168,118,50,265974.90411,63.16,18.8,35011,4.8,1.43
Gram negative bacteraemia,May,2022/23,235,155,80,265974.90411,88.35,30.08,35011,6.71,2.28
Klebsiella sp bacteraemia,May,2022/23,51,29,22,265974.90411,19.17,8.27,35011,1.46,0.63
MRSA bacteraemia,May,2022/23,6,4,2,265974.90411,2.26,0.75,35011,0.17,0.06
MSSA bacteraemia,May,2022/23,81,46,35,265974.90411,30.45,13.16,35011,2.31,1.0
P. aeruginosa bacteraemia,May,2022/23,16,8,8,265974.90411,6.02,3.01,35011,0.46,0.23
S. aureus bacteraemia,May,2022/23,87,50,37,265974.90411,32.71,13.91,35011,2.48,1.06
C. difficile,May,2023/24,99,50,49,268757.60001,36.84,18.23,37634,2.63,1.3
E. coli bacteraemia,May,2023/24,218,153,65,268757.60001,81.11,24.19,37634,5.79,1.73
Gram negative bacteraemia,May,2023/24,297,202,95,268757.60001,110.51,35.35,37634,7.89,2.52
Klebsiella sp bacteraemia,May,2023/24,63,40,23,268757.60001,23.44,8.56,37634,1.67,0.61
MRSA bacteraemia,May,2023/24,5,4,1,268757.60001,1.86,0.37,37634,0.13,0.03
MSSA bacteraemia,May,2023/24,58,39,19,268757.60001,21.58,7.07,37634,1.54,0.5
P. aeruginosa bacteraemia,May,2023/24,16,9,7,268757.60001,5.95,2.6,37634,0.43,0.19
S. aureus bacteraemia,May,2023/24,63,43,20,268757.60001,23.44,7.44,37634,1.67,0.53
C. difficile,May,2024/25,127,84,43,268023.28961,47.38,16.04,39831,3.19,1.08
E. coli bacteraemia,May,2024/25,189,144,45,268023.28961,70.52,16.79,39831,4.75,1.13
Gram negative bacteraemia,May,2024/25,253,188,65,268023.28961,94.39,24.25,39831,6.35,1.63
Klebsiella sp bacteraemia,May,2024/25,51,35,16,268023.28961,19.03,5.97,39831,1.28,0.4
MRSA bacteraemia,May,2024/25,4,2,2,268023.28961,1.49,0.75,39831,0.1,0.05
MSSA bacteraemia,May,2024/25,77,52,25,268023.28961,28.73,9.33,39831,1.93,0.63
P. aeruginosa bacteraemia,May,2024/25,13,9,4,268023.28961,4.85,1.49,39831,0.33,0.1
S. aureus bacteraemia,May,2024/25,81,54,27,268023.28961,30.22,10.07,39831,2.03,0.68
C. difficile,May,2025/26,102,57,45,268757.60001,37.95,16.74,37955,2.69,1.19
E. coli bacteraemia,May,2025/26,187,152,35,268757.60001,69.58,13.02,37955,4.93,0.92
Gram negative bacteraemia,May,2025/26,264,196,68,268757.60001,98.23,25.3,37955,6.96,1.79
Klebsiella sp bacteraemia,May,2025/26,63,37,26,268757.60001,23.44,9.67,37955,1.66,0.69
MRSA bacteraemia,May,2025/26,5,3,2,268757.60001,1.86,0.74,37955,0.13,0.05
MSSA bacteraemia,May,2025/26,69,49,20,268757.60001,25.67,7.44,37955,1.82,0.53
P. aeruginosa bacteraemia,May,2025/26,14,7,7,268757.60001,5.21,2.6,37955,0.37,0.18
S. aureus bacteraemia,May,2025/26,74,52,22,268757.60001,27.53,8.19,37955,1.95,0.58
C. difficile,Nov,2020/21,55,30,25,260513.91781,21.11,9.6,28779,1.91,0.87
E. coli bacteraemia,Nov,2020/21,152,107,45,260513.91781,58.35,17.27,28779,5.28,1.56
Gram negative bacteraemia,Nov,2020/21,216,144,72,260513.91781,82.91,27.64,28779,7.51,2.5
Klebsiella sp bacteraemia,Nov,2020/21,49,29,20,260513.91781,18.81,7.68,28779,1.7,0.69
MRSA bacteraemia,Nov,2020/21,5,3,2,260513.91781,1.92,0.77,28779,0.17,0.07
MSSA bacteraemia,Nov,2020/21,65,43,22,260513.91781,24.95,8.44,28779,2.26,0.76
P. aeruginosa bacteraemia,Nov,2020/21,15,8,7,260513.91781,5.76,2.69,28779,0.52,0.24
S. aureus bacteraemia,Nov,2020/21,70,46,24,260513.91781,26.87,9.21,28779,2.43,0.83
C. difficile,Nov,2021/22,100,53,47,255239.17808,39.18,18.41,34959,2.86,1.34
E. coli bacteraemia,Nov,2021/22,166,120,46,255239.17808,65.04,18.02,34959,4.75,1.32
Gram negative bacteraemia,Nov,2021/22,239,163,76,255239.17808,93.64,29.78,34959,6.84,2.17
Klebsiella sp bacteraemia,Nov,2021/22,51,32,19,255239.17808,19.98,7.44,34959,1.46,0.54
MRSA bacteraemia,Nov,2021/22,7,5,2,255239.17808,2.74,0.78,34959,0.2,0.06
MSSA bacteraemia,Nov,2021/22,55,34,21,255239.17808,21.55,8.23,34959,1.57,0.6
P. aeruginosa bacteraemia,Nov,2021/22,22,11,11,255239.17808,8.62,4.31,34959,0.63,0.31
S. aureus bacteraemia,Nov,2021/22,62,39,23,255239.17808,24.29,9.01,34959,1.77,0.66
C. difficile,Nov,2022/23,88,45,43,257395.06849,34.19,16.71,36835,2.39,1.17
E. coli bacteraemia,Nov,2022/23,180,133,47,257395.06849,69.93,18.26,36835,4.89,1.28
Gram negative bacteraemia,Nov,2022/23,270,184,86,257395.06849,104.9,33.41,36835,7.33,2.33
Klebsiella sp bacteraemia,Nov,2022/23,70,40,30,257395.06849,27.2,11.66,36835,1.9,0.81
MRSA bacteraemia,Nov,2022/23,4,2,2,257395.06849,1.55,0.78,36835,0.11,0.05
MSSA bacteraemia,Nov,2022/23,50,35,15,257395.06849,19.43,5.83,36835,1.36,0.41
P. aeruginosa bacteraemia,Nov,2022/23,20,11,9,257395.06849,7.77,3.5,36835,0.54,0.24
S. aureus bacteraemia,Nov,2022/23,54,37,17,257395.06849,20.98,6.6,36835,1.47,0.46
C. difficile,Nov,2023/24,118,59,59,260087.99999,45.37,22.68,40391,2.92,1.46
E. coli bacteraemia,Nov,2023/24,229,175,54,260087.99999,88.05,20.76,40391,5.67,1.34
Gram negative bacteraemia,Nov,2023/24,305,229,76,260087.99999,117.27,29.22,40391,7.55,1.88
Klebsiella sp bacteraemia,Nov,2023/24,68,48,20,260087.99999,26.14,7.69,40391,1.68,0.5
MRSA bacteraemia,Nov,2023/24,7,5,2,260087.99999,2.69,0.77,40391,0.17,0.05
MSSA bacteraemia,Nov,2023/24,81,58,23,260087.99999,31.14,8.84,40391,2.01,0.57
P. aeruginosa bacteraemia,Nov,2023/24,8,6,2,260087.99999,3.08,0.77,40391,0.2,0.05
S. aureus bacteraemia,Nov,2023/24,88,63,25,260087.99999,33.83,9.61,40391,2.18,0.62
C. difficile,Nov,2024/25,129,59,70,259377.37705,49.73,26.99,39071,3.3,1.79
E. coli bacteraemia,Nov,2024/25,184,143,41,259377.37705,70.94,15.81,39071,4.71,1.05
Gram negative bacteraemia,Nov,2024/25,264,201,63,259377.37705,101.78,24.29,39071,6.76,1.61
Klebsiella sp bacteraemia,Nov,2024/25,60,48,12,259377.37705,23.13,4.63,39071,1.54,0.31
MRSA bacteraemia,Nov,2024/25,6,2,4,259377.37705,2.31,1.54,39071,0.15,0.1
MSSA bacteraemia,Nov,2024/25,74,50,24,259377.37705,28.53,9.25,39071,1.89,0.61
P. aeruginosa bacteraemia,Nov,2024/25,20,10,10,259377.37705,7.71,3.86,39071,0.51,0.26
S. aureus bacteraemia,Nov,2024/25,80,52,28,259377.37705,30.84,10.8,39071,2.05,0.72
C. difficile,Oct,2020/21,66,34,32,269197.71508,24.52,11.89,29859,2.21,1.07
E. coli bacteraemia,Oct,2020/21,157,113,44,269197.71508,58.32,16.34,29859,5.26,1.47
Gram negative bacteraemia,Oct,2020/21,218,150,68,269197.71508,80.98,25.26,29859,7.3,2.28
Klebsiella sp bacteraemia,Oct,2020/21,44,24,20,269197.71508,16.34,7.43,29859,1.47,0.67
MRSA bacteraemia,Oct,2020/21,6,2,4,269197.71508,2.23,1.49,29859,0.2,0.13
MSSA bacteraemia,Oct,2020/21,61,40,21,269197.71508,22.66,7.8,29859,2.04,0.7
P. aeruginosa bacteraemia,Oct,2020/21,17,13,4,269197.71508,6.32,1.49,29859,0.57,0.13
S. aureus bacteraemia,Oct,2020/21,67,42,25,269197.71508,24.89,9.29,29859,2.24,0.84
C. difficile,Oct,2021/22,103,51,52,263747.15068,39.05,19.72,34777,2.96,1.5
E. coli bacteraemia,Oct,2021/22,172,120,52,263747.15068,65.21,19.72,34777,4.95,1.5
Gram negative bacteraemia,Oct,2021/22,258,175,83,263747.15068,97.82,31.47,34777,7.42,2.39
Klebsiella sp bacteraemia,Oct,2021/22,64,39,25,263747.15068,24.27,9.48,34777,1.84,0.72
MRSA bacteraemia,Oct,2021/22,10,5,5,263747.15068,3.79,1.9,34777,0.29,0.14
MSSA bacteraemia,Oct,2021/22,68,37,31,263747.15068,25.78,11.75,34777,1.96,0.89
P. aeruginosa bacteraemia,Oct,2021/22,22,16,6,263747.15068,8.34,2.27,34777,0.63,0.17
S. aureus bacteraemia,Oct,2021/22,78,42,36,263747.15068,29.57,13.65,34777,2.24,1.04
C. difficile,Oct,2022/23,108,51,57,265974.90411,40.61,21.43,36196,2.98,1.57
E. coli bacteraemia,Oct,2022/23,183,129,54,265974.90411,68.8,20.3,36196,5.06,1.49
Gram negative bacteraemia,Oct,2022/23,268,180,88,265974.90411,100.76,33.09,36196,7.4,2.43
Klebsiella sp bacteraemia,Oct,2022/23,62,38,24,265974.90411,23.31,9.02,36196,1.71,0.66
MRSA bacteraemia,Oct,2022/23,6,2,4,265974.90411,2.26,1.5,36196,0.17,0.11
MSSA bacteraemia,Oct,2022/23,81,56,25,265974.90411,30.45,9.4,36196,2.24,0.69
P. aeruginosa bacteraemia,Oct,2022/23,23,13,10,265974.90411,8.65,3.76,36196,0.64,0.28
S. aureus bacteraemia,Oct,2022/23,87,58,29,265974.90411,32.71,10.9,36196,2.4,0.8
C. difficile,Oct,2023/24,117,62,55,268757.60001,43.53,20.46,40643,2.88,1.35
E. coli bacteraemia,Oct,2023/24,176,135,41,268757.60001,65.49,15.26,40643,4.33,1.01
Gram negative bacteraemia,Oct,2023/24,270,193,77,268757.60001,100.46,28.65,40643,6.64,1.89
Klebsiella sp bacteraemia,Oct,2023/24,78,47,31,268757.60001,29.02,11.53,40643,1.92,0.76
MRSA bacteraemia,Oct,2023/24,4,1,3,268757.60001,1.49,1.12,40643,0.1,0.07
MSSA bacteraemia,Oct,2023/24,60,37,23,268757.60001,22.32,8.56,40643,1.48,0.57
P. aeruginosa bacteraemia,Oct,2023/24,16,11,5,268757.60001,5.95,1.86,40643,0.39,0.12
S. aureus bacteraemia,Oct,2023/24,64,38,26,268757.60001,23.81,9.67,40643,1.57,0.64
C. difficile,Oct,2024/25,132,70,62,268023.28961,49.25,23.13,40603,3.25,1.53
E. coli bacteraemia,Oct,2024/25,176,135,41,268023.28961,65.67,15.3,40603,4.33,1.01
Gram negative bacteraemia,Oct,2024/25,255,182,73,268023.28961,95.14,27.24,40603,6.28,1.8
Klebsiella sp bacteraemia,Oct,2024/25,66,41,25,268023.28961,24.62,9.33,40603,1.63,0.62
MRSA bacteraemia,Oct,2024/25,3,2,1,268023.28961,1.12,0.37,40603,0.07,0.02
MSSA bacteraemia,Oct,2024/25,80,63,17,268023.28961,29.85,6.34,40603,1.97,0.42
P. aeruginosa bacteraemia,Oct,2024/25,13,6,7,268023.28961,4.85,2.61,40603,0.32,0.17
S. aureus bacteraemia,Oct,2024/25,83,65,18,268023.28961,30.97,6.72,40603,2.04,0.44
C. difficile,Sep,2020/21,101,56,45,260513.91781,38.77,17.27,31024,3.26,1.45
E. coli bacteraemia,Sep,2020/21,185,143,42,260513.91781,71.01,16.12,31024,5.96,1.35
Gram negative bacteraemia,Sep,2020/21,243,175,68,260513.91781,93.28,26.1,31024,7.83,2.19
Klebsiella sp bacteraemia,Sep,2020/21,47,24,23,260513.91781,18.04,8.83,31024,1.51,0.74
MRSA bacteraemia,Sep,2020/21,2,2,0,260513.91781,0.77,0.0,31024,0.06,0.0
MSSA bacteraemia,Sep,2020/21,57,42,15,260513.91781,21.88,5.76,31024,1.84,0.48
P. aeruginosa bacteraemia,Sep,2020/21,11,8,3,260513.91781,4.22,1.15,31024,0.35,0.1
S. aureus bacteraemia,Sep,2020/21,59,44,15,260513.91781,22.65,5.76,31024,1.9,0.48
C. difficile,Sep,2021/22,103,47,56,255239.17808,40.35,21.94,34389,3.0,1.63
E. coli bacteraemia,Sep,2021/22,181,123,58,255239.17808,70.91,22.72,34389,5.26,1.69
Gram negative bacteraemia,Sep,2021/22,253,168,85,255239.17808,99.12,33.3,34389,7.36,2.47
Klebsiella sp bacteraemia,Sep,2021/22,56,35,21,255239.17808,21.94,8.23,34389,1.63,0.61
MRSA bacteraemia,Sep,2021/22,2,2,0,255239.17808,0.78,0.0,34389,0.06,0.0
MSSA bacteraemia,Sep,2021/22,76,49,27,255239.17808,29.78,10.58,34389,2.21,0.79
P. aeruginosa bacteraemia,Sep,2021/22,16,10,6,255239.17808,6.27,2.35,34389,0.47,0.17
S. aureus bacteraemia,Sep,2021/22,78,51,27,255239.17808,30.56,10.58,34389,2.27,0.79
C. difficile,Sep,2022/23,106,53,53,257395.06849,41.18,20.59,33238,3.19,1.59
E. coli bacteraemia,Sep,2022/23,196,137,59,257395.06849,76.15,22.92,33238,5.9,1.78
Gram negative bacteraemia,Sep,2022/23,283,194,89,257395.06849,109.95,34.58,33238,8.51,2.68
Klebsiella sp bacteraemia,Sep,2022/23,73,48,25,257395.06849,28.36,9.71,33238,2.2,0.75
MRSA bacteraemia,Sep,2022/23,6,3,3,257395.06849,2.33,1.17,33238,0.18,0.09
MSSA bacteraemia,Sep,2022/23,63,35,28,257395.06849,24.48,10.88,33238,1.9,0.84
P. aeruginosa bacteraemia,Sep,2022/23,14,9,5,257395.06849,5.44,1.94,33238,0.42,0.15
S. aureus bacteraemia,Sep,2022/23,69,38,31,257395.06849,26.81,12.04,33238,2.08,0.93
C. difficile,Sep,2023/24,123,67,56,260087.99999,47.29,21.53,37556,3.28,1.49
E. coli bacteraemia,Sep,2023/24,202,156,46,260087.99999,77.67,17.69,37556,5.38,1.22
Gram negative bacteraemia,Sep,2023/24,289,206,83,260087.99999,111.12,31.91,37556,7.7,2.21
Klebsiella sp bacteraemia,Sep,2023/24,68,38,30,260087.99999,26.14,11.53,37556,1.81,0.8
MRSA bacteraemia,Sep,2023/24,6,1,5,260087.99999,2.31,1.92,37556,0.16,0.13
MSSA bacteraemia,Sep,2023/24,71,44,27,260087.99999,27.3,10.38,37556,1.89,0.72
P. aeruginosa bacteraemia,Sep,2023/24,19,12,7,260087.99999,7.31,2.69,37556,0.51,0.19
S. aureus bacteraemia,Sep,2023/24,77,45,32,260087.99999,29.61,12.3,37556,2.05,0.85
C. difficile,Sep,2024/25,130,74,56,259377.37705,50.12,21.59,37181,3.5,1.51
E. coli bacteraemia,Sep,2024/25,188,142,46,259377.37705,72.48,17.73,37181,5.06,1.24
Gram negative bacteraemia,Sep,2024/25,270,198,72,259377.37705,104.1,27.76,37181,7.26,1.94
Klebsiella sp bacteraemia,Sep,2024/25,66,45,21,259377.37705,25.45,8.1,37181,1.78,0.56
MRSA bacteraemia,Sep,2024/25,3,3,0,259377.37705,1.16,0.0,37181,0.08,0.0
MSSA bacteraemia,Sep,2024/25,63,43,20,259377.37705,24.29,7.71,37181,1.69,0.54
P. aeruginosa bacteraemia,Sep,2024/25,16,11,5,259377.37705,6.17,1.93,37181,0.43,0.13
S. aureus bacteraemia,Sep,2024/25,66,46,20,259377.37705,25.45,7.71,37181,1.78,0.54
C. difficile,Sep,2025/26,145,88,57,260087.99999,55.75,21.92,40542,3.58,1.41
E. coli bacteraemia,Sep,2025/26,194,147,47,260087.99999,74.59,18.07,40542,4.79,1.16
Gram negative bacteraemia,Sep,2025/26,269,195,74,260087.99999,103.43,28.45,40542,6.64,1.83
Klebsiella sp bacteraemia,Sep,2025/26,60,40,20,260087.99999,23.07,7.69,40542,1.48,0.49
MRSA bacteraemia,Sep,2025/26,5,3,2,260087.99999,1.92,0.77,40542,0.12,0.05
MSSA bacteraemia,Sep,2025/26,57,37,20,260087.99999,21.92,7.69,40542,1.41,0.49
P. aeruginosa bacteraemia,Sep,2025/26,15,8,7,260087.99999,5.77,2.69,40542,0.37,0.17
S. aureus bacteraemia,Sep,2025/26,62,40,22,260087.99999,23.84,8.46,40542,1.53,0.54
